tiporegistro,codformato,codcolumna,codcaptura,codsubcuenta,signo,valor,periodo
4,205,1,1,10,+,0,03/30/2019 12:00:00 AM
4,205,1,1,15,-,0,03/30/2019 12:00:00 AM
4,205,1,2,5,+,23,03/30/2019 12:00:00 AM
4,205,1,3,5,+,141,03/30/2019 12:00:00 AM
4,205,2,1,5,+,8,03/30/2019 12:00:00 AM
4,205,2,1,10,+,0,03/30/2019 12:00:00 AM
4,205,2,1,15,-,0,03/30/2019 12:00:00 AM
4,205,2,2,5,+,8,03/30/2019 12:00:00 AM
4,205,2,3,5,+,23,03/30/2019 12:00:00 AM
4,205,3,1,5,+,"1,094",03/30/2019 12:00:00 AM
4,205,3,1,10,+,0,03/30/2019 12:00:00 AM
4,205,3,1,15,-,3,03/30/2019 12:00:00 AM
4,205,3,2,5,+,"1,091",03/30/2019 12:00:00 AM
4,205,3,3,5,+,"10,905",03/30/2019 12:00:00 AM
4,205,4,1,5,+,659,03/30/2019 12:00:00 AM
4,205,4,1,10,+,0,03/30/2019 12:00:00 AM
4,205,4,1,15,-,0,03/30/2019 12:00:00 AM
4,205,4,2,5,+,659,03/30/2019 12:00:00 AM
4,205,4,3,5,+,"3,557",03/30/2019 12:00:00 AM
4,205,5,1,5,+,87,03/30/2019 12:00:00 AM
4,205,5,1,10,+,0,03/30/2019 12:00:00 AM
4,205,5,1,20,+,1,03/30/2019 12:00:00 AM
4,205,5,1,25,-,0,03/30/2019 12:00:00 AM
4,205,5,2,5,+,88,03/30/2019 12:00:00 AM
4,205,5,3,5,+,475,03/30/2019 12:00:00 AM
4,205,6,1,5,+,529,03/30/2019 12:00:00 AM
4,205,6,1,10,+,0,03/30/2019 12:00:00 AM
4,205,6,1,20,+,3,03/30/2019 12:00:00 AM
4,205,6,1,25,-,1,03/30/2019 12:00:00 AM
4,205,6,2,5,+,531,03/30/2019 12:00:00 AM
4,205,6,3,5,+,"4,805",03/30/2019 12:00:00 AM
4,205,7,1,5,+,"1,873",03/30/2019 12:00:00 AM
4,205,7,1,10,+,0,03/30/2019 12:00:00 AM
4,205,7,1,15,-,2,03/30/2019 12:00:00 AM
4,205,7,1,20,+,8,03/30/2019 12:00:00 AM
4,205,7,1,25,-,0,03/30/2019 12:00:00 AM
4,205,7,2,5,+,"1,879",03/30/2019 12:00:00 AM
4,205,7,3,5,+,"31,434",03/30/2019 12:00:00 AM
4,205,1,1,5,+,23,02/28/2019 12:00:00 AM
4,205,1,1,10,+,0,02/28/2019 12:00:00 AM
4,205,1,1,15,-,0,02/28/2019 12:00:00 AM
4,205,1,2,5,+,23,02/28/2019 12:00:00 AM
4,205,1,3,5,+,141,02/28/2019 12:00:00 AM
4,205,2,1,5,+,8,02/28/2019 12:00:00 AM
4,205,2,1,10,+,0,02/28/2019 12:00:00 AM
4,205,2,1,15,-,0,02/28/2019 12:00:00 AM
4,205,2,2,5,+,8,02/28/2019 12:00:00 AM
4,205,2,3,5,+,23,02/28/2019 12:00:00 AM
4,205,3,1,5,+,"1,091",02/28/2019 12:00:00 AM
4,205,3,1,10,+,2,02/28/2019 12:00:00 AM
4,205,3,1,15,-,4,02/28/2019 12:00:00 AM
4,205,3,2,5,+,"1,089",02/28/2019 12:00:00 AM
4,205,3,3,5,+,"10,852",02/28/2019 12:00:00 AM
4,205,4,1,5,+,659,02/28/2019 12:00:00 AM
4,205,4,1,10,+,1,02/28/2019 12:00:00 AM
4,205,4,1,15,-,4,02/28/2019 12:00:00 AM
4,205,4,2,5,+,656,02/28/2019 12:00:00 AM
4,205,4,3,5,+,"3,546",02/28/2019 12:00:00 AM
4,205,5,1,5,+,88,02/28/2019 12:00:00 AM
4,205,5,1,10,+,0,02/28/2019 12:00:00 AM
4,205,5,1,20,+,3,02/28/2019 12:00:00 AM
4,205,5,1,25,-,0,02/28/2019 12:00:00 AM
4,205,5,2,5,+,91,02/28/2019 12:00:00 AM
4,205,5,3,5,+,473,02/28/2019 12:00:00 AM
4,205,6,1,5,+,531,02/28/2019 12:00:00 AM
4,205,6,1,10,+,0,02/28/2019 12:00:00 AM
4,205,6,1,20,+,4,02/28/2019 12:00:00 AM
4,205,6,1,25,-,4,02/28/2019 12:00:00 AM
4,205,6,2,5,+,531,02/28/2019 12:00:00 AM
4,205,6,3,5,+,"4,797",02/28/2019 12:00:00 AM
4,205,7,1,5,+,"1,879",02/28/2019 12:00:00 AM
4,205,7,1,10,+,0,02/28/2019 12:00:00 AM
4,205,7,1,15,-,6,02/28/2019 12:00:00 AM
4,205,7,1,20,+,0,02/28/2019 12:00:00 AM
4,205,7,1,25,-,3,02/28/2019 12:00:00 AM
4,205,7,2,5,+,"1,870",02/28/2019 12:00:00 AM
4,205,7,3,5,+,"31,285",02/28/2019 12:00:00 AM
4,205,1,1,5,+,23,01/30/2019 12:00:00 AM
4,205,1,1,10,+,0,01/30/2019 12:00:00 AM
4,205,1,1,15,-,0,01/30/2019 12:00:00 AM
4,205,1,2,5,+,23,01/30/2019 12:00:00 AM
4,205,1,3,5,+,139,01/30/2019 12:00:00 AM
4,205,2,1,5,+,8,01/30/2019 12:00:00 AM
4,205,2,1,10,+,0,01/30/2019 12:00:00 AM
4,205,2,1,15,-,0,01/30/2019 12:00:00 AM
4,205,2,2,5,+,8,01/30/2019 12:00:00 AM
4,205,2,3,5,+,23,01/30/2019 12:00:00 AM
4,205,3,1,5,+,"1,097",01/30/2019 12:00:00 AM
4,205,3,1,10,+,1,01/30/2019 12:00:00 AM
4,205,3,1,15,-,4,01/30/2019 12:00:00 AM
4,205,3,2,5,+,"1,094",01/30/2019 12:00:00 AM
4,205,3,3,5,+,"10,755",01/30/2019 12:00:00 AM
4,205,4,1,5,+,658,01/30/2019 12:00:00 AM
4,205,4,1,10,+,1,01/30/2019 12:00:00 AM
4,205,4,1,15,-,0,01/30/2019 12:00:00 AM
4,205,4,2,5,+,659,01/30/2019 12:00:00 AM
4,205,4,3,5,+,"3,538",01/30/2019 12:00:00 AM
4,205,5,1,5,+,88,01/30/2019 12:00:00 AM
